id,hash_mode,speed,accel,loops,thr,vec
206,13713 - VeraCrypt RIPEMD160 + XTS 1536 bit (Iterations: 655330),1061 H/s (28.79ms),32,15,1024,1
207,13721 - VeraCrypt SHA512 + XTS 512 bit (Iterations: 499999),2837 H/s (29.47ms),4,250,1024,1
208,13722 - VeraCrypt SHA512 + XTS 1024 bit (Iterations: 499999),1425 H/s (29.36ms),2,250,1024,1
209,13723 - VeraCrypt SHA512 + XTS 1536 bit (Iterations: 499999),926 H/s (43.21ms),32,15,1024,1
210,13731 - VeraCrypt Whirlpool + XTS 512 bit (Iterations: 499999),359 H/s (57.85ms),4,62,1024,1
211,13732 - VeraCrypt Whirlpool + XTS 1024 bit (Iterations: 499999),179 H/s (58.00ms),2,62,1024,1
212,13733 - VeraCrypt Whirlpool + XTS 1536 bit (Iterations: 499999),119 H/s (84.25ms),8,15,1024,1
213,13741 - VeraCrypt RIPEMD160 + XTS 512 bit + boot-mode (Iterations: 327660),5615 H/s (46.60ms),16,128,1024,1
214,13742 - VeraCrypt RIPEMD160 + XTS 1024 bit + boot-mode (Iterations: 327660),3182 H/s (41.07ms),16,64,1024,1
215,13743 - VeraCrypt RIPEMD160 + XTS 1536 bit + boot-mode (Iterations: 327660),2197 H/s (29.74ms),16,32,1024,1
216,13751 - VeraCrypt SHA256 + XTS 512 bit (Iterations: 499999),3985 H/s (42.03ms),8,250,1024,1
217,13752 - VeraCrypt SHA256 + XTS 1024 bit (Iterations: 499999),1979 H/s (41.94ms),16,62,1024,1
218,13753 - VeraCrypt SHA256 + XTS 1536 bit (Iterations: 499999),1323 H/s (31.38ms),8,62,1024,1
219,13761 - VeraCrypt SHA256 + XTS 512 bit + boot-mode (Iterations: 199999),9964 H/s (43.02ms),8,256,1024,1
220,13762 - VeraCrypt SHA256 + XTS 1024 bit + boot-mode (Iterations: 199999),4970 H/s (43.13ms),8,128,1024,1
221,13763 - VeraCrypt SHA256 + XTS 1536 bit + boot-mode (Iterations: 199999),3316 H/s (32.32ms),4,128,1024,1
222,13771 - VeraCrypt Streebog-512 + XTS 512 bit (Iterations: 499999),136 H/s (68.61ms),16,7,1024,1
223,13772 - VeraCrypt Streebog-512 + XTS 1024 bit (Iterations: 499999),69 H/s (68.03ms),8,7,1024,1
224,13773 - VeraCrypt Streebog-512 + XTS 1536 bit (Iterations: 499999),46 H/s (112.58ms),2,31,1024,1
225,13800 - Windows Phone 8+ PIN/password,2455.4 MH/s (69.79ms),2,1024,1024,1
226,13900 - OpenCart,5605.9 MH/s (61.16ms),4,1024,1024,1
227,"14000 - DES (PT = $salt, key = $pass)",67531.9 MH/s (40.45ms),512,1024,64,1
228,"14100 - 3DES (PT = $salt, key = $pass)",7304.8 MH/s (93.58ms),8,1024,1024,1
229,14400 - sha1(CX),1064.7 MH/s (80.49ms),2,512,1024,1
230,14600 - LUKS (Iterations: 163044),28356 H/s (74.25ms),128,512,64,1
231,14700 - iTunes backup < 10.0 (Iterations: 9999),462.2 kH/s (72.23ms),4,1024,1024,1
232,14800 - iTunes backup >= 10.0 (Iterations: 9999999),377 H/s (91.12ms),8,512,1024,1
233,"14900 - Skip32 (PT = $salt, key = $pass)",20109.1 MH/s (3.20ms),16,1024,1024,1
234,15000 - FileZilla Server >= 0.9.55,2869.8 MH/s (59.73ms),2,1024,1024,1
235,15100 - Juniper/NetBSD sha1crypt (Iterations: 19999),467.7 kH/s (71.65ms),16,512,1024,1
236,"15200 - Blockchain, My Wallet, V2 (Iterations: 4999)",930.7 kH/s (71.83ms),4,1024,1024,1
237,15300 - DPAPI masterkey file v1 (Iterations: 23999),192.8 kH/s (72.36ms),4,1024,1024,1
238,15400 - ChaCha20,13756.4 MH/s (199.71ms),32,1024,1024,1
239,15500 - JKS Java Key Store Private Keys (SHA1),21690.0 MH/s (63.22ms),16,1024,1024,1
240,"15600 - Ethereum Wallet, PBKDF2-HMAC-SHA256 (Iterations: 1023)",3934.0 kH/s (56.11ms),8,511,1024,1
241,"15700 - Ethereum Wallet, SCRYPT (Iterations: 1)",0 H/s (0.00ms),0,0,1,1
242,15900 - DPAPI masterkey file v2 (Iterations: 12899),110.5 kH/s (59.24ms),4,256,1024,1
243,16000 - Tripcode,607.0 MH/s (69.60ms),4,128,1024,1
244,16100 - TACACS+,40206.6 MH/s (68.18ms),32,1024,1024,1
245,16200 - Apple Secure Notes (Iterations: 19999),201.6 kH/s (83.07ms),4,1024,1024,1
246,"16300 - Ethereum Pre-Sale Wallet, PBKDF2-HMAC-SHA256 (Iterations: 1999)",1995.5 kH/s (82.72ms),4,1024,1024,1
247,16400 - CRAM-MD5 Dovecot,66677.7 MH/s (41.09ms),32,1024,1024,1
248,16500 - JWT (JSON Web Token),1854.7 MH/s (92.49ms),2,1024,1024,1
249,16600 - Electrum Wallet (Salt-Type 1-3),2140.7 MH/s (80.08ms),8,256,1024,1
250,16700 - FileVault 2 (Iterations: 19999),201.7 kH/s (83.01ms),4,1024,1024,1
251,16800 - WPA-PMKID-PBKDF2 (Iterations: 4095),1138.8 kH/s (73.45ms),4,1024,1024,1
252,16801 - WPA-PMKID-PMK (Iterations: 0),948.8 MH/s (0.00ms),32,1024,1024,1
253,16900 - Ansible Vault (Iterations: 9999),403.4 kH/s (83.02ms),8,512,1024,1
254,17200 - PKZIP (Compressed),5449.6 MH/s (31.26ms),32,64,1024,1
255,17210 - PKZIP (Uncompressed),3826.6 MH/s (44.76ms),32,64,1024,1
256,17220 - PKZIP (Compressed Multi-File),23148.8 MH/s (59.13ms),32,512,1024,1
257,17225 - PKZIP (Mixed Multi-File),22355.6 MH/s (61.22ms),32,512,1024,1
258,17230 - PKZIP (Mixed Multi-File Checksum-Only),25881.8 MH/s (52.94ms),16,1024,1024,1
259,17300 - SHA3-224,2236.6 MH/s (76.69ms),2,1024,1024,1
260,17400 - SHA3-256,2233.2 MH/s (76.79ms),8,256,1024,1
261,17500 - SHA3-384,2232.7 MH/s (76.81ms),2,1024,1024,1
262,17600 - SHA3-512,2231.8 MH/s (76.83ms),2,1024,1024,1
263,17700 - Keccak-224,2232.8 MH/s (76.78ms),2,1024,1024,1
264,17800 - Keccak-256,2233.5 MH/s (76.78ms),2,1024,1024,1
265,17900 - Keccak-384,2228.9 MH/s (76.94ms),4,512,1024,1
266,18000 - Keccak-512,2222.2 MH/s (77.18ms),2,1024,1024,1
267,18100 - TOTP (HMAC-SHA1),4593.9 MH/s (74.61ms),4,1024,1024,1
268,"18200 - Kerberos 5, etype 23, AS-REP",1456.4 MH/s (58.83ms),128,128,64,1
269,18300 - Apple File System (APFS) (Iterations: 19999),201.2 kH/s (83.18ms),4,1024,1024,1
270,"18400 - Open Document Format (ODF) 1.2 (SHA-256, AES) (Iterations: 99999)",46241 H/s (74.22ms),4,1024,1024,1
271,18500 - sha1(md5(md5($pass))),8487.4 MH/s (80.78ms),16,512,1024,1
272,"18600 - Open Document Format (ODF) 1.1 (SHA-1, Blowfish) (Iterations: 1023)",2011.3 kH/s (47.20ms),512,511,11,1
273,18700 - Java Object hashCode(),271.1 GH/s (10.07ms),32,1024,1024,1
